j_Aperm2,SEC_gasliqsep_kWhperkg,SEC_lyecooler_kWhperkg,SEC_comp_kWhperkg,SEC_pumps_kWhperkg,SEC_H2_purif_kWhperkg,SEC_lyeheaters_kWhperkg
84.8564231969921,0.4851659702376374,0.0,1.9745514589140747,1.5489907648109134,92.95623703361701,321.379718922482
99.34507408868485,0.4849465486110731,-2.1767675441241858e-08,1.9745514589140751,1.2770454853554625,88.17480428884302,277.4296905493447
113.83372498037761,0.48473151783140345,-1.8483679194265735e-08,1.9745514589140751,1.0618245611903525,83.5321338081245,233.47966217620734
128.32237587207035,0.4845206263897224,3.1211467526561546e-10,1.9745514589140754,0.8955145199846395,79.02822559146145,189.9124882970649
142.81102676376312,0.48431362277712364,2.507983210168957e-08,1.9745514589140751,0.7703018894073782,74.66307963885387,174.58197875674028
157.29967765545587,0.4841102554847014,4.627959901934339e-08,1.9745514589140747,0.6783731971276248,70.43669595030177,159.25146921641567
171.78832854714864,0.4839102730035492,5.437154136256435e-08,1.9745514589140747,0.6119149708144347,66.34907452580512,143.92095967609106
186.27697943884138,0.48371342382476135,3.9815785065689845e-08,1.9745514589140747,0.5631137381368635,62.40021536536397,128.59045013576645
200.76563033053412,0.4835194564856841,-6.920873557959184e-09,1.9745514589140745,0.5241576701468669,58.59011846897828,114.31853620062579
215.2542812222269,0.48332816849720683,-8.830886120955199e-08,1.9745514589140742,0.4889749959880086,54.91878383664806,108.73259429285531
229.74293211391964,0.48313949926358335,-1.863552863834689e-07,1.9745514589140742,0.4565354975103785,51.38621146837332,103.14665238508482
244.2315830056124,0.48295341373969447,-2.793824439302638e-07,1.9745514589140742,0.42671678500182697,47.99240136415404,97.56071047731433
258.72023389730515,0.4827698768804206,-3.4571262870049e-07,1.9745514589140738,0.3993964687502052,44.737353523990244,91.97476856954385
273.2088847889979,0.48258885364064263,-3.6366813554470083e-07,1.974551458914074,0.37445215904336365,41.62106794788192,86.38882666177338
287.69753568069063,0.48241030897524084,-3.1157125931345e-07,1.9745514589140736,0.35176146616915305,38.64354463582906,80.8028847540029
302.18618657238346,0.4822342078390961,-1.6774429485728973e-07,1.9745514589140734,0.331202000415424,35.80478358783167,75.2169428462324
316.6748374640762,0.4820605152472512,8.920315327035555e-08,1.9745514589140734,0.31265127387254277,33.10478480388976,70.64367179602618
331.1634883557689,0.4818892009889727,4.578617422716709e-07,1.9745514589140738,0.29597900607487926,30.54354828400332,68.4687067785803
345.6521392474617,0.4817202430144813,8.978487563731098e-07,1.9745514589140736,0.2810415961323314,28.12107402817236,66.29374176113438
360.14079013915443,0.4815536200731544,1.364965033497959e-06,1.9745514589140736,0.26769413875949216,25.837362036396854,64.11877674368849
374.62944103084715,0.4813893109143693,1.8150114115695185e-06,1.9745514589140736,0.25579172867095457,23.692412308676836,61.94381172624259
389.11809192254,0.4812272942875038,2.2037887285110846e-06,1.9745514589140738,0.24518946058131127,21.686224845012276,59.76884670879668
403.6067428142327,0.4810675489419352,2.487097822245948e-06,1.9745514589140738,0.23574242920515553,19.818799645403203,57.59388169135079
418.0953937059255,0.48091005362704103,2.620739530697405e-06,1.9745514589140742,0.22730572925707998,18.090136709849588,55.418916673904874
432.58404459761823,0.4807547870921989,2.5605146917887506e-06,1.9745514589140745,0.2197344554516777,16.50023603835146,53.24395165645898
447.07269548931095,0.480601728086786,2.26222414344328e-06,1.9745514589140742,0.21288370250354155,16.12211271088837,51.06898663901309
461.5613463810038,0.4804508553601799,1.6816687235842838e-06,1.9745514589140745,0.20660856512726442,16.272706396363827,48.89402162156718
476.0499972726965,0.48030214766175827,7.746492701350657e-07,1.9745514589140747,0.2007641380374393,16.198739140951975,46.719056604121285
490.5386481643892,0.4801555837687862,-5.019618914692152e-07,1.9745514589140745,0.19520659412934907,15.995796845005696,44.99141464831628
505.02729905608203,0.4800111438674109,-2.1371612253304427e-06,1.9745514589140747,0.18984657564598417,15.748698385713109,44.065308367873854
519.5159499477747,0.4798688101877402,-4.041413360208005e-06,1.9745514589140747,0.1846737472244177,15.466362320202833,43.139202087431435
534.0046008394675,0.47972856512032425,-6.1190185105688375e-06,1.9745514589140747,0.1796839764227851,15.160184020603243,42.21309580698902
548.4932517311603,0.4795903910557133,-8.274276890879896e-06,1.974551458914075,0.17487313079922168,14.843449020763533,41.2869895265466
