,\mathbf{Stack}$ $\mathbf{(\$/\mathbf{kW})},\mathbf{Pumps}$ $\mathbf{(\$/\mathbf{kW})},"\mathbf{Lye,coolers}$ $\mathbf{(\$/\mathbf{kW})}","\mathbf{H_2,purification}$ $\mathbf{(\$/\mathbf{kW})}",\mathbf{Gas{-}liq.~separation}$ $\mathbf{(\$/\mathbf{kW})},\mathbf{Refrigeration}$ $\mathbf{(\$/\mathbf{kW})},"\mathbf{H_2,compression}$ $\mathbf{(\$/\mathbf{kW})}",\mathbf{Total~CAPEX/kW}$ $\mathbf{(\$/\mathbf{kW})},\mathbf{Total~CAPEX}$ $\mathbf{(\$/\mathbf{kW})}
\mathbf{W_{GDE}},0.45391831556454426,0.27405316583830425,0.32414044656329827,-0.0124951238424218,0.2890114102396038,-0.2941139859119414,-0.008609516542821107,0.37090084734784823,0.6435123049260627
\mathbf{P},0.16740866820306938,0.14964882707195026,0.08793367535570848,0.6399179402017934,0.44366917161810077,-0.25578527677896395,-0.9456457083503165,0.25095606580285135,0.03672737860262166
\mathbf{V_{in}},0.014878645470867173,0.4275607057745816,0.4873350110901107,0.02288391199530019,0.40314737932739453,-0.4650724543328066,-0.0036377419075921402,0.1660456687775532,0.12826274413979674
\mathbf{d_p},0.013741067494650882,0.006575588283376907,0.006841984895718331,0.01881176428737148,0.003429855858090442,-0.11066641154204668,0.001282678200734319,0.009439194998190589,-0.009921150712382266
\mathbf{W_{SEP}},0.4129145412288103,0.32458491082092356,0.2356585819553914,0.37371433636362666,0.12628281657250234,-0.2213232158273009,0.054830992913207886,0.3367537986798351,-0.2586009859101472
