j_Aperm2,SEC_sys_kWhperkg,SEC_stack_kWhperkg,eta_stack_pct,eta_volt,eta_curr_stack,eta_curr_sys
84.8564231969921,354.55961204711355,57.48578501242727,69.025760005577,105.78571428571428,67.45694440915412,65.27221401236567
99.34507408868485,339.0564959190798,55.210060021567045,71.98024056458907,104.37838768756403,71.31070571741748,69.0185085780199
113.83372498037761,324.0015455081849,53.42675472412584,74.34835494595589,103.16593715568393,74.49275346780912,72.11567457293889
128.32237587207035,309.3947608144289,52.06791255220241,76.20706963090743,102.125036661748,77.08800852514166,74.64576367536645
142.81102676376312,295.2361418378117,51.06557693789547,77.63335110067354,101.23236017743011,79.18139175422753,76.69082756354635
157.29967765545587,281.5256885783334,50.35179131330376,78.70416583648414,100.4645816744042,80.85782401987927,78.33291791572236
171.78832854714864,268.26340103599404,49.85859911052602,79.49648031956914,99.79837512434422,82.20222618690943,79.6540864101383
186.27697943884138,255.44927921079346,49.518043761661,80.08726103115843,99.21041449892408,83.2995191201305,80.73638472503792
200.76563033053412,243.0833231027318,49.26218297050075,80.55345894797432,98.6773782479641,84.23460696535572,81.66184838391678
215.2542812222269,231.16553271180902,49.03818569426938,80.95560845634122,98.18068640333708,85.07469134151665,82.49540782755922
229.74293211391964,219.6959080380251,48.83700344032903,81.30667937784231,97.71549700712656,85.83568349813505,83.2524341306265
244.2315830056124,208.67444908138003,48.65747160547171,81.61107662023043,97.27944189412909,86.52425886818106,83.93937425163084
258.72023389730515,198.10115584187383,48.49842558648948,81.87320509125854,96.87015289914122,87.14709288462475,84.56267514908455
273.2088847889979,187.97602831950653,48.35870078017434,82.09746969867953,96.48526185695951,87.71086098043621,85.12878378149992
287.69753568069063,178.29906651427808,48.237132583318306,82.28827535024624,96.12240060238048,88.22223858858551,85.64414710738913
302.18618657238346,169.0702704261885,48.132556392713425,82.45002695371163,95.77920097020068,88.68790114204276,86.11521208526456
316.6748374640762,160.28964005523778,48.04380745777473,82.58711728147387,95.45330130326582,89.1145048669807,86.54840712455093
331.1634883557689,151.95717540142596,47.96970933267542,82.70297609316863,95.14285639693065,89.50718181566657,86.94868865396661
345.6521392474617,144.072876464753,47.90906557999848,82.79938699551651,94.84690385915255,89.8684586508906,87.31849693066383
360.14079013915443,136.6367432452189,47.860677804661385,82.87797239661126,94.56456774683184,90.2006069040988,87.66002581706591
374.62944103084715,129.64877574282366,47.823347611581546,82.94035470454658,94.29497211686876,90.5058981067372,87.97546917559607
389.11809192254,123.10897395756731,47.7958766056764,82.98815632741623,94.03724102616364,90.78660379025177,88.26702086867766
403.6067428142327,117.01733788944983,47.777066391863386,83.02299967331398,93.79049853161672,91.04499548608851,88.53687475873393
418.0953937059255,111.37386753847122,47.765718575059964,83.04650715033348,93.55386869012833,91.28334472569342,88.78722470818813
