True_unscaled,Pred_unscaled
50.058401050282235,50.05525867315076
49.92881717281844,49.92674504722813
64.3087726535385,64.26613629522066
55.29281067801966,55.24299970196393
57.818260036043306,57.80664936679838
48.526353126935476,48.544780709732514
55.28908590990072,55.253724748739515
60.813210700076134,60.830253544913674
50.40658934391235,50.35153271222496
51.15168018916953,51.1405869697167
48.64390950124999,48.622559182164395
47.454549307941825,47.46818867515829
49.956612383908265,49.92622429865734
62.830606900575646,62.82774120946717
65.41098664985046,65.43773007903098
53.15664773258728,53.14712913149961
49.08181915811403,49.07824607930884
57.28080085432356,57.29432772444882
59.575400081593315,59.56569204688304
50.91237894810772,50.90635470766026
50.4018196950581,50.4029169469115
58.85065128277538,58.779073883844966
52.22460311001362,52.23440376470932
56.11142014358186,56.12086607040879
53.26949399398677,53.26830554358511
57.88801343515116,57.908302158321796
57.94190053995302,57.98682985590538
59.26482201868823,59.22753409640733
51.15959960489298,51.194784136854
56.38546719179024,56.35279427967196
54.236029674510135,54.26884603261178
59.27226068154938,59.29863704691823
51.00659637949778,50.97613056530344
49.78025267436669,49.744268665205766
54.19460193435773,54.15488072715967
51.61964904052534,51.56688272850899
56.78756229810981,56.72477789122942
51.56814295410014,51.62309316006384
57.23641743311163,57.23682951580154
48.60698573070305,48.59946227689364
54.494401385949594,54.48589507544636
62.743778581321656,62.71715260984729
50.92432156796658,50.9297705899758
48.77774741106261,48.78306323845064
56.94955543523709,56.915230182985574
54.6464351190194,54.63913535679648
53.001909507239276,52.97764846772745
56.2468243702635,56.25917896787005
48.28177951166093,48.30364815820959
50.78819523323839,50.78444390656468
56.538650664531886,56.52761966346197
59.76312395390744,59.808200650541025
48.36632879541373,48.366841219816905
54.23088044162996,54.21304507856559
60.22652526145913,60.20741896726648
49.643435867826945,49.585900271505416
52.08358616420951,52.017702629395686
48.47446026481931,48.4521208454508
53.53555698810181,53.486611207614715
69.75598677699155,69.71000179666164
50.520851893288224,50.49470444606609
52.392174304753574,52.37820825999045
57.869651794533816,57.888285977858
49.569456384397526,49.57053151240343
61.61370944698865,61.64941033374814
50.924943147674725,50.90832420546004
55.24386932023688,55.33629158587858
49.380083729243935,49.39070041443153
50.18858450733844,50.213038813835965
47.699075632778026,47.65365750694498
48.93212916024199,48.91866483103123
50.892241062893845,50.91502198159345
64.80445360123919,64.76731154437269
58.43201689282444,58.40302368587004
52.562534467435164,52.57084368998568
59.509665699589384,59.496069001498526
55.095487126770585,55.04687184423185
50.63890923936084,50.59200208821756
55.245209347762454,55.220286310953995
58.315113208816925,58.30094435527511
50.463826599407405,50.41750755038563
59.239949416572486,59.25281117268884
55.51199228539677,55.49580755513307
59.647484468775986,59.696224871679874
50.414580340029794,50.556071920447316
58.361250285046836,58.39088994744783
47.59779475445923,47.572479332661366
49.263695640245686,49.24060836233273
53.349065746359116,53.37783929353595
60.13464237596509,60.097588494483276
58.532576999349864,58.47106297313684
58.335055866580795,58.36886866244437
60.47164902365107,60.357499892259064
53.26819662088971,53.179342845794565
56.21383505654695,56.2748444498044
48.41152682903552,48.43211208305781
55.709016075104124,55.66936148158643
56.08226133478929,56.07822922482016
59.58887574988952,59.564798911157645
49.28072309799217,49.26030037310218
54.38632679315342,54.36373354355743
48.111628970254145,48.10785411366391
55.778095980247556,55.78177270120406
60.24727219370899,60.24239962197318
61.46872324036753,61.4467189669643
51.62997221373149,51.627581092903256
47.749941489820294,47.72054921865764
58.9317177478141,58.939750039373976
55.09508542531734,55.08718535004311
48.820778655260945,48.848947576147445
50.6247555164513,50.59510432542987
50.40721800855454,50.43130367847613
49.97110986775363,49.982492591164494
49.19262208276197,49.21290186786129
49.60563561420746,49.62076223707917
50.90983726192751,50.89013657945065
48.76962868929689,48.78191047024693
52.42355195514172,52.4106630615867
58.30107708167466,58.278556617573685
53.45833866990402,53.489229044803196
51.007914790101175,51.008488190172095
52.33071029206881,52.37395696360984
52.275247346476256,52.25898428414187
47.97714329888569,47.97161753422208
53.84394889280207,53.83626123338766
50.22564907055694,50.207185955967695
57.268724602978295,57.40001891372063
50.34379631922672,50.334511206946736
58.93495662882139,58.957386502722265
47.91496273243597,47.920167278705335
47.16192176497736,47.17706500264674
53.194262775853595,53.19647413852076
47.40604724380677,47.39916946073762
55.19573879322814,55.212444668301856
61.86711892140035,61.86787548630015
57.151940853672514,57.13077187383177
61.34689923083899,61.3027267944917
53.221008361145536,53.2076242407537
54.11792216082652,54.111631890729306
56.51554226874621,56.78570028136211
52.8392994248135,52.792456329981924
51.635034755411645,51.64467010262584
59.28177310965422,59.25002939613548
48.50097938988216,48.49215765722088
65.45284377235146,65.49595896765295
48.87504789872362,48.85415802908365
50.47472735825785,50.48898140443698
57.10460906697626,57.091255810632475
68.26490972711714,68.28442810449435
49.00906374514096,49.00999686063815
52.990270571500375,52.99520333229683
51.328764850369346,51.34709419212467
47.98420371303107,47.98747217696205
54.305346059736266,54.29713855467713
53.49108354095018,53.46834272463351
53.24182250341744,53.19123549691548
57.32560795015478,57.34169284837107
56.03243096206106,56.05616862404142
52.95668793458237,52.966197933626745
54.06304201539082,54.04723265080846
56.08605419418773,56.04896122644344
51.99507076303622,51.994489260413225
50.3231626758721,50.33276573488539
48.90869023082053,48.91956612663452
51.86452008553936,51.909564218564
57.40843886984759,57.483107241237555
54.5566389174265,54.560574277894254
48.58478136962318,48.56288376973469
48.95925350037159,48.963242985750554
56.7883434975708,56.73513796892121
48.96305583252579,48.963863878277266
53.84915516125304,53.83685097001697
55.604652489956486,55.47391015191212
55.60509740066535,55.582506999519794
50.080040958510715,50.03503181947599
49.89068832431738,49.9146083415776
48.035088472175275,48.01150598457598
55.85327325210996,55.90423169773243
53.90248989122251,53.907494741944795
47.95020473690033,47.97831679396964
49.19314478388421,49.18807729389913
51.049688765601196,51.05017329727593
49.597974568162904,49.59953171842395
47.91553336298098,47.875031285061176
57.1438380438499,57.15584421135895
49.584493361488484,49.53412881352265
62.52808284490745,62.53996753773295
65.29423094537266,65.3076497565535
62.01781455273016,62.03836649131649
54.16987476516255,54.20188014019104
50.483766173024854,50.528995220187554
61.33009845150116,61.366419834071536
48.01947176622828,48.02467380206895
48.5264072155116,48.527948365259924
50.146180127639795,50.188139317358626
48.2562215873549,48.2707757192268
49.55127403300367,49.56702424852495
48.49482708351177,48.46426274375089
66.89861783832976,66.86120297354518
69.71507798321774,69.7334013592214
50.15976045441349,50.168793730495956
58.68610485474553,58.68501645502284
52.79564410892918,52.77764615161185
53.46079414881561,53.45914505863749
48.775234828671515,48.74820201468396
49.99573228745313,49.956609458497894
51.30088197707203,51.30332979977309
59.17916475047879,59.19178418775774
68.07593779550669,68.03599394587418
52.17954322062368,52.20575962608763
56.21987773537181,56.22106788728197
50.0069258868645,49.99482884291979
48.71781393788758,48.73395635150245
48.18807404285089,48.157318551625096
54.828386696582335,54.88353185947534
52.31513934583703,52.3425110196436
54.681174126936945,54.71084065465706
66.2718951899581,66.23461336845449
50.965237171399565,50.89172404660376
55.535634635994455,55.525325542496056
53.124714035609195,53.14880858273075
57.14321442512518,57.165851188880225
50.6933107934382,50.743134153843776
48.66275590151855,48.68009373935864
51.58400194876911,51.532370154070335
65.2613259793682,65.27326848196816
48.395097663389215,48.375897200660475
65.02442256361788,65.03959183341533
48.09468737625516,48.07125335229254
50.37020083325636,50.372179428707526
50.354042473008576,50.36154414058873
53.47490313869097,53.44769971718635
51.4959858308204,51.555892856605524
50.870005712455985,50.85676861333781
53.66903830411552,53.6615775347501
47.934070070194366,47.9325821620112
51.863197629434886,51.883568331221106
50.857248028418354,50.85477537771145
55.4027315471102,55.36384304267011
59.26200187699334,59.218173232853516
48.93290278692514,48.94655900269414
54.07634526572425,54.06318150304771
51.70555404965201,51.707178476297486
58.00142981511533,57.869852071897746
51.240780723335575,51.227678830049214
52.084004387724676,52.0653681851857
54.519305516296434,54.52933974894608
63.17245958005185,63.18561416673184
54.684565389292366,54.666490234711574
58.22664732891739,58.246819885231744
67.70591192045669,67.60807362957473
55.979067593442934,55.889417810326954
57.759860120699116,57.762370902139736
54.44979845674911,54.4747420059851
65.80778400918948,65.82492370297513
49.47177714213973,49.464732019297806
50.57671709069725,50.60148980078222
61.38468797970359,61.33532031401208
49.15258910225234,49.15546968004421
60.72274166974809,60.68771531431963
52.62800649277258,52.65137649210892
48.52010008105189,48.5142115817359
54.289363426743385,54.415857359903626
51.154901603290476,51.11062463991225
47.325263103171615,47.33215905989202
49.69128606332414,49.67182823652801
48.018845706315254,48.00906543927984
49.14601225221975,49.09573492304803
51.18677632889763,51.21103787180349
60.361977331442965,60.26382746131192
48.739002347300996,48.742530899550516
52.535099523715765,52.53879391505559
